term,PCA dim
utgiftsområde,2.6463
budgetpropositionen,2.6344
jobbskatteavdrag,2.5887
arbetslöshetsförsäkringen,2.4886
skattehöjningar,2.4645
arbetsgivaravgifter,2.4206
förmögenhetsskatten,2.4135
jobbskatteavdraget,2.4109
utgiftstak,2.4058
bolagsskatten,2.3941
migrationspolitiken,2.3787
jobbpolitik,2.3522
jobbskatteavdragen,2.3323
bolagsskatt,2.3088
inkomstskatten,2.2869
biståndet,2.2867
fastighetsskatt,2.2797
medelinkomsttagare,2.2405
statskontoret,2.2072
arbetslinje,2.2055
inkomstskatt,2.2038
kilometerskatt,2.1957
misstroendeförklaring,2.1950
avregleringar,2.1755
riksrevisionen,2.1483
rödgröna,2.1483
näringsdepartementet,2.1473
bensinskatten,2.1453
förtidspension,2.1325
finansdepartementet,2.1294
oppositionspartierna,2.0957
statsfinanser,2.0924
utvecklingsgarantin,2.0833
utanförskapet,2.0802
nystartsjobb,2.0784
skattetrycket,2.0612
kulturdepartementet,2.0475
domstolsverket,2.0425
arbetslinjen,2.0324
riksrevisionens,2.0278
underhållsstöd,2.0233
eurozonen,2.0215
fattigdomsbekämpning,2.0194
frihandelsavtal,2.0096
skattehöjning,1.9900
bidragssystemen,1.9882
bidragssystem,1.9695
skattetryck,1.9586
förtidspensionärer,1.9585
kulturutskottet,1.9503
beskattningen,1.9376
statsråd,1.9341
marginalskatter,1.9332
grönbok,1.9276
reformer,1.9017
försvarsberedningen,1.8923
vänsterregering,1.8916
finanspolitiska,1.8826
oecd,1.8767
bostadsministern,1.8758
kriminalvårdsstyrelsen,1.8738
förtidspensionering,1.8664
förbifart,1.8611
finansministern,1.8563
avreglering,1.8455
interpellation,1.8430
långtidssjukskrivna,1.8366
friskolor,1.8293
gåvoskatten,1.8287
betänkandet,1.8276
subventioner,1.8227
handelshinder,1.8205
handelsminister,1.8185
skolpeng,1.8177
skolverket,1.8127
underhållsstödet,1.8063
arbetsrätt,1.7998
konkurrenskraft,1.7886
regeringens,1.7799
frihandel,1.7706
jobbavdrag,1.7687
rödgrön,1.7532
proposition,1.7454
biståndsministern,1.7400
friskolorna,1.7382
oppositionen,1.7380
företagsklimat,1.7343
rikspolisstyrelsen,1.7256
riksdag,1.7240
konkurrensverket,1.7040
försäkringskassan,1.6966
bidragsberoende,1.6943
oppositionens,1.6916
ostlänken,1.6832
kommunalråd,1.6793
höginkomsttagare,1.6764
statsrådet,1.6726
migrationsverket,1.6711
skattechock,1.6542
justitiekanslern,1.6472
jobbgarantin,1.6394
högkonjunktur,1.6369
unionens,1.6330
protektionism,1.6300
avdraget,1.6159
arbetsförmedlingen,1.6158
arbetsmiljöverket,1.6116
näringsministern,1.6111
sjukförsäkringsreformen,1.6080
protektionistiska,1.6047
försvarsminister,1.6035
bistånd,1.6023
kulturrådet,1.6006
regeringspartiet,1.5977
skattebetalarna,1.5912
interpellationsdebatt,1.5872
sjukskrivningarna,1.5821
kriminalvården,1.5810
tillskjuta,1.5754
migrationsverkets,1.5651
riksåklagaren,1.5595
yrkande,1.5579
justitiedepartementet,1.5471
landsbygdsministern,1.5443
beskattning,1.5439
flygskatt,1.5427
parlamentariska,1.5393
arbetsförmedlingens,1.5384
miljöministern,1.5231
frihandeln,1.5149
avslår,1.5117
människohandel,1.5091
socialministern,1.5072
straffskatt,1.5048
nämndemän,1.5035
justitieministern,1.5005
segregation,1.4987
ekonomier,1.4957
utbildningsministern,1.4907
statsministern,1.4881
försäkringskassans,1.4870
talmannen,1.4853
extremism,1.4754
inlåsningseffekter,1.4597
skatteverket,1.4590
företagsamheten,1.4581
avskaffa,1.4437
snabbspår,1.4377
regleringar,1.4277
friheterna,1.4274
förtidspensioneringar,1.4249
rättssäkert,1.4246
jordbruksministern,1.4246
oppositionspolitiker,1.4162
världsekonomin,1.4121
jobben,1.4114
unionen,1.4092
kommunal,1.4074
välståndet,1.4046
skattebetalarnas,1.3856
arbetsföra,1.3820
arbetsförmåga,1.3780
rättsväsendet,1.3713
försvarsdepartementet,1.3651
utförare,1.3616
vänstern,1.3614
diktatur,1.3578
finanskris,1.3569
utanförskap,1.3511
infrastrukturministern,1.3441
sysselsättning,1.3435
brottsbekämpning,1.3424
skatterna,1.3319
marknadsekonomi,1.3136
etableringsfriheten,1.3100
näringsliv,1.3095
företagandet,1.3088
kommunpolitiker,1.3067
arbetsför,1.3062
diktaturer,1.3054
självbestämmande,1.2991
gäldenären,1.2928
inkomsttagare,1.2905
planekonomi,1.2877
höjda,1.2859
miljonprogramsområden,1.2849
skatten,1.2764
trafikverket,1.2764
försvarsministern,1.2749
krisen,1.2623
socialistiska,1.2597
ministern,1.2584
incitamenten,1.2576
låginkomsttagare,1.2560
utrikesministern,1.2541
nämndemännen,1.2527
