term,norm LIME
vänsterregering,0.1863
fattigdomsbekämpning,0.0869
bidragsberoende,0.0838
fridens,0.0734
arbetsföra,0.0710
vänstern,0.0703
medelinkomsttagare,0.0692
explicit,0.0686
protektionistiska,0.0673
tillkortakommanden,0.0641
implikationer,0.0623
rödgröna,0.0590
facto,0.0582
förtidspensionerades,0.0579
välfungerande,0.0563
2012,0.0547
kulturdepartementet,0.0528
utanförskap,0.0519
jobbskatteavdraget,0.0515
därav,0.0481
ingalunda,0.0464
regimerna,0.0454
incitamenten,0.0433
utanförskapet,0.0430
förmodar,0.0430
2011,0.0422
avregleringar,0.0421
torde,0.0415
skolpeng,0.0413
synes,0.0406
diverse,0.0404
rödgrön,0.0400
tacksamt,0.0393
tillförde,0.0392
rikspolisstyrelsen,0.0388
tämligen,0.0383
utlandsfödda,0.0371
löna,0.0361
bevisligen,0.0360
jobbskatteavdrag,0.0360
etcetera,0.0355
långtidssjukskrivna,0.0353
finanskris,0.0348
förvisso,0.0346
kilometerskatten,0.0342
jobbskatteavdragen,0.0341
avvecklar,0.0339
arbetsmiljöverket,0.0335
felet,0.0335
protektionism,0.0334
förtjänstfullt,0.0330
nämnde,0.0330
bekant,0.0328
besvärande,0.0326
friskolorna,0.0321
skolministern,0.0317
marknadsekonomiska,0.0315
följdfråga,0.0314
någorlunda,0.0306
förvirrad,0.0306
väsentligt,0.0305
frihet,0.0290
adekvat,0.0288
transparens,0.0287
utgiftstak,0.0285
välvilligt,0.0281
åvilar,0.0280
arbetslinje,0.0279
förnuftig,0.0277
kontext,0.0277
uteslutande,0.0277
green,0.0276
undergräver,0.0276
statsrådets,0.0276
högkvalitativa,0.0275
måhända,0.0274
sjukförsäkringsreformen,0.0272
villigt,0.0270
trösklarna,0.0269
slarvar,0.0268
beskatta,0.0266
inkludera,0.0266
utpräglad,0.0265
låginkomsttagare,0.0260
påpeka,0.0257
åsyftade,0.0256
yttermera,0.0252
sittande,0.0251
friare,0.0250
låt,0.0250
arbetslinjen,0.0249
skattebetalarna,0.0246
skattebetalare,0.0245
signalsystemet,0.0245
hävdade,0.0244
dessvärre,0.0243
företagsamhet,0.0243
rekommenderas,0.0243
eurozonen,0.0243
ondgör,0.0239
miljonprogramsområden,0.0238
2007,0.0237
skattebetalarnas,0.0237
meningslös,0.0237
avsågs,0.0233
inkluderat,0.0233
freda,0.0232
valmöjligheter,0.0230
interpellanten,0.0226
rättstrygghet,0.0224
varaktig,0.0224
hämmas,0.0224
utmärkta,0.0224
decennier,0.0220
försvagar,0.0220
jobbavdrag,0.0219
2013,0.0219
antydde,0.0215
frihandelsavtal,0.0213
synnerhet,0.0212
vällovligt,0.0211
tillskjuta,0.0210
kilometerskatt,0.0208
bolagsskatten,0.0205
landar,0.0205
rättvisan,0.0204
befarade,0.0204
overheadkostnader,0.0203
snarast,0.0202
2008,0.0201
utomordentligt,0.0201
tillkännagivanden,0.0200
moralen,0.0200
sedermera,0.0199
såtillvida,0.0199
noterar,0.0199
arbetsförmedlingen,0.0198
incitament,0.0197
påpekade,0.0197
skattechock,0.0196
realism,0.0195
högkonjunktur,0.0194
vänster,0.0193
inträdet,0.0192
statsrådet,0.0192
innerligt,0.0191
2009,0.0189
bidragssystem,0.0189
kostnadseffektivitet,0.0189
välskötta,0.0188
2010,0.0187
arbetande,0.0187
rimligen,0.0187
visavi,0.0187
konstruktiva,0.0186
fromma,0.0186
ineffektivt,0.0185
kulturrådet,0.0185
realiteten,0.0185
klokare,0.0185
hämmande,0.0185
onekligen,0.0183
möjligen,0.0183
hämma,0.0183
uppvisar,0.0182
ineffektiv,0.0182
problematiskt,0.0180
välgörande,0.0180
luft,0.0178
avslår,0.0178
skattetryck,0.0177
reguljära,0.0177
påstådda,0.0177
underkände,0.0176
undantagen,0.0175
kollega,0.0174
agendan,0.0173
yrkande,0.0173
oändligt,0.0172
lagligt,0.0171
heder,0.0171
avsaknaden,0.0169
underhållsstöd,0.0168
fördelen,0.0168
ryska,0.0167
grunden,0.0167
kriminalvårdsstyrelsen,0.0166
justitieministern,0.0165
valfrihet,0.0165
skatteministern,0.0165
frid,0.0164
betydande,0.0163
primärt,0.0162
domstolsverket,0.0162
uppmuntrar,0.0161
utlovat,0.0161
glömde,0.0161
regelförenklingsarbetet,0.0161
icke,0.0161
planekonomi,0.0160
uppenbart,0.0160
vackert,0.0160
äganderätt,0.0160
konstaterar,0.0160
transfereringssystem,0.0160
socialministern,0.0160
synliggör,0.0159
ofullständiga,0.0157
tisdags,0.0156
undergräva,0.0156
högkvalitativ,0.0156
dvs,0.0156
tydligen,0.0156
försvarsdepartementet,0.0156
borttagande,0.0155
misstroendeförklaring,0.0154
korrekt,0.0154
åter,0.0154
rullar,0.0152
lagliga,0.0152
friheten,0.0151
möjligtvis,0.0151
efterlevnad,0.0151
nämndemän,0.0151
straffskatt,0.0150
ap,0.0150
enskildas,0.0148
påpekande,0.0147
motsätter,0.0147
slutgiltigt,0.0147
utmärkt,0.0146
förtidspensioneringar,0.0146
rejäla,0.0145
rimligtvis,0.0145
arbetslöshetsförsäkringen,0.0145
koldioxid,0.0144
höghastighetståg,0.0143
ursäkta,0.0143
rubbas,0.0143
kritiserat,0.0141
inskränker,0.0141
trösklar,0.0141
bidragssystemen,0.0140
rätt,0.0140
anslagit,0.0139
isolering,0.0139
