term,PCA dim
budgetpropositionen,2.1856
arbetsmarknadspolitik,2.1572
samlingspartiet,2.1527
ungdomsarbetslösheten,2.1439
skattesänkningar,2.1124
arbetsmarknadspolitiken,2.1058
arbetslöshetsförsäkringen,2.0629
budgetproposition,2.0261
statsbidraget,2.0211
statsbidragen,1.9821
motionstiden,1.9804
arbetsmarknadspolitiska,1.9582
socialförsäkringarna,1.9434
bostadsbyggandet,1.9146
integrationspolitiken,1.9138
föräldraförsäkringen,1.9061
ungdomsarbetslöshet,1.9054
långtidsarbetslösheten,1.9050
ungdomsvården,1.9039
moderatledda,1.8971
budgetmotion,1.8957
likvärdigheten,1.8384
arbetslösheten,1.8279
vårdnadsbidrag,1.8246
regeringspartierna,1.8197
konstitutionsutskottet,1.8130
sjukförsäkringen,1.8118
kommunförbundet,1.8099
socialbidragen,1.8033
vårdnadsbidraget,1.7940
finansutskottet,1.7831
långtidsarbetslösa,1.7726
jämställdhetspolitiken,1.7718
näringsutskottet,1.7454
bostadspolitiken,1.7431
flyktingmottagandet,1.7428
bostadsbyggande,1.7379
utbildningsplatser,1.7350
skattesänkningarna,1.7244
välfärden,1.7233
arbetsmarknadsminister,1.7227
anställningsskydd,1.7220
privatiseringar,1.7158
jämställdhetsminister,1.7148
välfärdspolitiken,1.7034
fastighetsskatten,1.7010
mandatperioden,1.6992
arbetsmarknadsläget,1.6978
utjämningssystemet,1.6959
fördelningspolitiska,1.6857
försörjningsstöd,1.6851
högskoleplatser,1.6760
arbetstidsförkortning,1.6725
turordningsreglerna,1.6709
blocköverskridande,1.6696
näringspolitik,1.6622
sjukersättning,1.6513
remissinstanserna,1.6485
biståndet,1.6481
flyktingpolitiken,1.6445
socialdepartementet,1.6341
statsfinanserna,1.6317
skollagen,1.6234
utbildningspolitik,1.6232
utbildningspolitiken,1.6216
visstidsanställningar,1.6194
högskoleverket,1.6185
kommunernas,1.6103
löneutvecklingen,1.5919
kollektivavtalen,1.5916
arbetsmarknaden,1.5832
långtidsarbetslöshet,1.5773
energipolitiken,1.5753
löntagare,1.5719
fördelningspolitik,1.5717
skattepolitiken,1.5689
kvinnodominerade,1.5645
vuxenutbildningen,1.5622
investeringsstöd,1.5598
riksdagsordningen,1.5423
jordbrukspolitik,1.5386
näringsdepartementet,1.5366
maxtaxan,1.5343
energipolitik,1.5253
lärarutbildningen,1.5198
tjänstesektorn,1.5174
skattesänkning,1.5167
konjunkturläget,1.5109
massarbetslöshet,1.5093
interpellationer,1.5055
näringspolitiken,1.4973
arbetslöshet,1.4890
arbetskraftsdeltagande,1.4869
allmännyttan,1.4817
skolpolitiken,1.4675
sysselsättningen,1.4663
massarbetslösheten,1.4657
remissinstanser,1.4654
presstödet,1.4646
trygghetssystemen,1.4620
forskningspolitiken,1.4613
arbetskraftens,1.4534
segregationen,1.4456
statsfinanser,1.4424
betänkandet,1.4318
jämställdhetsperspektiv,1.4298
småföretagen,1.4274
bostadsbolagen,1.4250
välfärdssystemen,1.4233
styrmedel,1.4219
säkerhetspolitiken,1.4218
miljöpolitiken,1.4190
folkomröstningar,1.4153
skattereformen,1.4038
riksdagen,1.3987
blockgränserna,1.3984
regionalpolitiska,1.3971
infrastrukturpropositionen,1.3910
statsskulden,1.3882
handläggningstiderna,1.3808
skuldsanering,1.3780
föräldrapenning,1.3737
arbetsmarknadsutbildningen,1.3731
asylprocessen,1.3715
vuxenutbildning,1.3674
kommunerna,1.3656
skolpolitik,1.3644
mandatperiod,1.3621
socialförsäkringssystemen,1.3587
riksdagspartier,1.3572
parlamentariskt,1.3554
socialbidrag,1.3540
välfärdspolitik,1.3495
sysselsättningspolitiken,1.3476
riksdagsgruppen,1.3422
försämringarna,1.3421
landstingen,1.3403
elevhälsan,1.3393
bostadsmarknaden,1.3345
infrastruktursatsningar,1.3339
kollektivavtal,1.3276
folkomröstning,1.3253
sjukfrånvaron,1.3216
klassklyftor,1.3089
välfärdssystemet,1.3086
beskattningen,1.3080
centerns,1.2971
investeringsbidrag,1.2949
utskottets,1.2933
bemanningsföretagen,1.2876
interpellationen,1.2860
regeringskansliet,1.2853
transportsektorn,1.2826
regionalpolitik,1.2732
handelspolitik,1.2690
alkoholpolitik,1.2680
löner,1.2620
regeringsmakten,1.2562
jämställdhetsarbetet,1.2544
norrbotniabanan,1.2475
utskottet,1.2442
arbetsmarknad,1.2398
riksrevisionsverket,1.2331
utbildningsområdet,1.2310
asylsökande,1.2221
regeringens,1.2216
landsting,1.2214
regeringsskifte,1.2201
näringsminister,1.2179
arbetsgivarnas,1.2083
riksdag,1.2059
kd,1.2045
riksdagens,1.2038
proposition,1.2002
miljöpolitik,1.2000
jämställdheten,1.1998
ersättningarna,1.1991
folkomröstningen,1.1989
högskolorna,1.1989
regionalpolitiken,1.1950
privatisering,1.1791
trygghetssystem,1.1665
handikappolitiken,1.1623
ungdomsförbundet,1.1559
konjunkturen,1.1538
barnomsorgen,1.1494
etableringsrätten,1.1469
betänkande,1.1449
arbetsmarknadsministern,1.1445
underskotten,1.1439
skattesystem,1.1411
handlingsplanen,1.1404
partierna,1.1339
riksdagsmajoriteten,1.1320
samlingsregeringen,1.1282
arbetsvillkor,1.1270
gymnasieskolan,1.1264
riksdagsledamöter,1.1240
utbildningssatsningar,1.1167
kommuner,1.1160
nyanlända,1.1127
elmarknaden,1.1090
folkbildningen,1.1066
diskrimineringsombudsmannen,1.1051
fördelningspolitisk,1.1024
arbetslösa,1.1015
förvärvsarbete,1.0969
uppehållstillstånd,1.0959
klyftorna,1.0922
konstitutionsutskottets,1.0900
kompetensutveckling,1.0770
fördelningspolitiskt,1.0761
pensionärerna,1.0726
försöksverksamhet,1.0719
partipolitik,1.0698
socialstyrelsen,1.0694
ersättningssystemet,1.0637
småföretagarna,1.0539
folkrörelserna,1.0497
alkoholpolitiken,1.0466
jämställdhet,1.0423
uppsägningar,1.0402
moderatledd,1.0378
utbildningsnivå,1.0362
kriminalvården,1.0338
nedskärningar,1.0323
högskoleutbildning,1.0283
samhällsekonomiskt,1.0240
sametinget,1.0220
segregation,1.0187
socialtjänsten,1.0155
skatteutskottets,1.0141
upphandlingar,1.0108
fastighetstaxeringen,1.0095
omfördelning,1.0046
civilanställda,1.0045
hushållsnära,1.0043
välfärd,1.0023
fackliga,1.0001
utbildningsinsatser,0.9960
totalförsvaret,0.9882
domstolarnas,0.9835
ojämställdhet,0.9791
medlemsländer,0.9766
barnkonventionen,0.9744
jordbruksminister,0.9717
partiet,0.9674
välfärdssamhälle,0.9658
regeringen,0.9658
tidsgränserna,0.9610
handlingsplan,0.9599
diskriminering,0.9593
jämlikhet,0.9582
riksskatteverket,0.9560
marginaleffekter,0.9514
skattefusk,0.9491
kunskapslyftet,0.9489
reservationen,0.9415
uppsagda,0.9412
jämlikheten,0.9291
inflationen,0.9262
näringsministern,0.9252
komvux,0.9190
arbetsvillkoren,0.9172
diskrimineringen,0.9155
etableringsuppdraget,0.9120
utnämningspolitik,0.9116
företagarna,0.9096
förlossningsvården,0.9065
miljöminister,0.9007
hyreslägenheter,0.9004
ledamöter,0.8982
politiken,0.8970
utrikespolitik,0.8861
utbildningssystemet,0.8824
säkerhetsrådet,0.8799
statsministern,0.8787
socialstyrelsens,0.8763
vindkraften,0.8700
arbetslivet,0.8681
sysselsättning,0.8672
äldreomsorgen,0.8671
folkrörelser,0.8624
handikapporganisationerna,0.8611
miljöministern,0.8610
inkomsten,0.8596
ordförandeskapet,0.8542
riksmötet,0.8429
missbrukarvården,0.8373
utskottsmajoriteten,0.8347
stockholmsregionen,0.8346
solidariskt,0.8321
försäkringskassorna,0.8294
idrottsrörelsen,0.8192
direktivet,0.8184
demokratin,0.8156
gymnasiekompetens,0.8078
förordningen,0.8038
högskolor,0.8030
centern,0.7958
trafikutskottets,0.7939
åklagarmyndigheten,0.7919
framtidsinvesteringar,0.7877
departementen,0.7861
miljöarbetet,0.7809
skatteverket,0.7802
propositionen,0.7774
neddragningen,0.7745
klimatfrågan,0.7743
flyktingar,0.7741
transportsystemet,0.7738
grundlagen,0.7724
parlamentet,0.7704
skogsbruket,0.7670
fördelningspolitiken,0.7641
investeringsprojekt,0.7601
folkhögskolorna,0.7589
räntan,0.7586
demokratiska,0.7565
motioner,0.7516
överläggningen,0.7438
näringsverksamhet,0.7431
avdragen,0.7430
miljarderna,0.7409
jämställt,0.7405
invandrare,0.7388
skattefusket,0.7370
civilministern,0.7368
skatterna,0.7316
unionen,0.7304
utbildningsplatserna,0.7285
könsfördelning,0.7257
ställningstaganden,0.7228
generaldirektören,0.7219
stödområde,0.7202
sänkta,0.7160
statsfinansiell,0.7143
besparingarna,0.7141
miljöfrågorna,0.7136
borgarna,0.7038
upphandling,0.7034
banverket,0.7030
samhällsutvecklingen,0.7022
regeringsställning,0.7012
remissbehandling,0.6966
utbildningsbakgrund,0.6932
näringsliv,0.6909
internationaliseringen,0.6848
primärvården,0.6833
redovisningen,0.6823
neddragningar,0.6807
solidariteten,0.6803
polismyndigheten,0.6760
inflation,0.6754
skattefrågan,0.6740
statsfinansiellt,0.6692
prostitutionen,0.6676
sysselsättningsökning,0.6667
besöksnäringen,0.6655
föreningslivet,0.6633
förslaget,0.6560
länet,0.6535
omsorgen,0.6511
konjunkturuppgången,0.6469
diskrimineras,0.6456
jämlik,0.6430
minister,0.6410
kulturministern,0.6358
klyftor,0.6337
näringslivet,0.6298
partikamrater,0.6288
människovärdet,0.6287
remissbehandlats,0.6207
föräldralediga,0.6187
kommunens,0.6175
barnomsorg,0.6167
tillsynen,0.6110
sjuklöneveckan,0.6095
sjukvårdshuvudmännen,0.5940
ministern,0.5861
citybanan,0.5856
framtidsfrågorna,0.5841
lagstiftningen,0.5834
utförsäljningar,0.5783
arbetsmiljön,0.5778
ersättningar,0.5742
yttrandefrihetsgrundlagen,0.5730
försvarsministern,0.5721
regering,0.5708
försvarsmaktens,0.5687
väntetiderna,0.5679
arbetstider,0.5645
djurskyddslagen,0.5596
krisen,0.5544
marginaleffekterna,0.5543
arbetsgivaren,0.5540
förskolans,0.5539
havsmiljön,0.5419
domstolarna,0.5385
jämlikt,0.5338
djurskyddet,0.5294
arbetssituationen,0.5242
jämställd,0.5232
barnskötare,0.5217
reservanterna,0.5213
miljöprogrammet,0.5142
vägnätet,0.5132
jordbruksverket,0.5067
redovisa,0.4991
välfärdsland,0.4983
arbetstid,0.4981
arbetsplatserna,0.4968
kollektivavtalsenlig,0.4958
ekonomin,0.4852
arbetslös,0.4826
remissbehandlingen,0.4822
statens,0.4804
demokratiseringsprocessen,0.4791
politik,0.4764
sektorn,0.4761
organisationerna,0.4677
folkrätten,0.4611
politisk,0.4500
debatt,0.4482
översynen,0.4444
beredskapen,0.4437
intresseorganisationer,0.4430
politiker,0.4378
regionalpolitiskt,0.4370
utvärderingen,0.4327
hyran,0.4307
nedskärning,0.4298
ansökningarna,0.4229
invandrarbakgrund,0.4215
majoritet,0.4142
upphandlingen,0.4119
partier,0.4025
lagstiftning,0.4000
anslag,0.3919
uppföljningen,0.3838
glesbygden,0.3829
solidaritet,0.3790
folkrörelse,0.3751
humanistiska,0.3749
kollektivtrafiken,0.3697
arbetsmiljö,0.3679
ungdomars,0.3661
stödet,0.3659
omställningen,0.3635
informationskampanj,0.3623
samhälleliga,0.3609
högskolan,0.3590
ekonomiska,0.3494
avtalen,0.3471
ersättningen,0.3394
skattemoralen,0.3393
sjukvårdens,0.3359
argumentationen,0.3334
samhällets,0.3327
omstrukturering,0.3204
ministerns,0.3162
utvecklingsarbete,0.3162
satsas,0.3155
diskriminerade,0.3149
regionalpolitisk,0.3117
myndighet,0.3112
statliga,0.3085
decentraliserat,0.3062
inkomst,0.3062
resolutioner,0.3027
samhälleligt,0.3022
satsningar,0.3021
sjöfartsverket,0.2982
lantbruket,0.2971
skattemyndigheterna,0.2940
saneringen,0.2887
verksamheterna,0.2863
samordning,0.2831
omläggningen,0.2781
arbetskraft,0.2757
debatten,0.2661
investeringar,0.2595
livsmedelsverket,0.2575
partiskiljande,0.2552
avvecklingen,0.2502
uppslutning,0.2498
sfi,0.2469
omstruktureringen,0.2460
resurserna,0.2443
jordbruket,0.2428
förhandlingarna,0.2369
utredning,0.2318
styrningen,0.2316
mobbning,0.2292
läroplanen,0.2200
skatt,0.2188
avlönade,0.2149
inkomster,0.2122
omställning,0.2104
arbetsgivare,0.2089
forskningens,0.2076
vården,0.2063
kvinnors,0.2032
beslut,0.1893
utbyggd,0.1854
territoriella,0.1851
anställs,0.1826
allemansrätten,0.1817
sammanhållningen,0.1815
eu,0.1758
verksamheter,0.1750
uppgörelsen,0.1718
apoteken,0.1718
ömsesidighet,0.1702
åtgärder,0.1684
insatserna,0.1583
utreda,0.1544
könsroller,0.1533
folkhälsoinstitutet,0.1462
budgetsaneringen,0.1382
finansieringen,0.1378
förslag,0.1376
undervisningen,0.1356
rekrytering,0.1348
regelverket,0.1314
konventionen,0.1297
folkhälsa,0.1232
försvaret,0.1206
parterna,0.1197
bolagen,0.1182
försörjning,0.1179
ekonomisk,0.1163
befogenheter,0.1155
2020,0.1150
satsningen,0.1148
skatter,0.1145
sjukvården,0.1132
kommittén,0.1099
poliser,0.1096
samordnad,0.1084
könen,0.1060
förskolan,0.1033
högkostnadsskydd,0.1029
riktlinjerna,0.1027
bostäder,0.1024
förstudie,0.0972
ersättningsnivåerna,0.0944
utvecklingssamtal,0.0896
omröstning,0.0837
föräldern,0.0815
samverkan,0.0810
rökningen,0.0794
utbildningen,0.0791
redovisar,0.0786
tidsplanen,0.0773
beslutet,0.0764
länderna,0.0686
samhället,0.0663
prioritering,0.0648
anställning,0.0634
agerande,0.0626
utbyggnaden,0.0570
konkurrenssituation,0.0566
intressena,0.0552
organisationer,0.0525
prioriterade,0.0504
länen,0.0490
sjukvård,0.0458
