term,norm LIME
överläggningen,0.2200
moderatledda,0.1927
kd,0.1721
skattesänkningarna,0.1200
borgarna,0.1187
solidariteten,0.0975
massarbetslöshet,0.0882
utnämningspolitik,0.0856
skattesänkningar,0.0845
sjuklöneveckan,0.0811
moderatledd,0.0714
regionalpolitiken,0.0707
2016,0.0700
etableringsuppdraget,0.0698
jämlikheten,0.0692
arbetsvillkoren,0.0675
fördelningspolitiken,0.0640
solidariskt,0.0619
utförsäljningar,0.0581
ersättningsnivåerna,0.0554
vuxenutbildningen,0.0553
blockgränserna,0.0545
investeringsbidrag,0.0528
segregationen,0.0524
klyftan,0.0510
klyftorna,0.0506
fördelningspolitiska,0.0502
kollektivavtalsenlig,0.0496
ungdomsarbetslösheten,0.0488
centern,0.0465
solidaritet,0.0464
jämlikhet,0.0456
utförsäljning,0.0449
jämlikt,0.0447
socialförsäkringarna,0.0442
regionalpolitisk,0.0436
massarbetslösheten,0.0421
statsfinanserna,0.0419
centerns,0.0413
privatiseringar,0.0406
2019,0.0406
rättvis,0.0398
regionalpolitik,0.0397
långtidsarbetslösheten,0.0397
utbildningsinsatser,0.0395
välfärdsland,0.0386
diskriminerade,0.0377
segregation,0.0377
socialbidragen,0.0368
skattesänkning,0.0366
maxtaxan,0.0365
vårdnadsbidraget,0.0357
fördelning,0.0355
utbildningsområdet,0.0354
samhälleligt,0.0340
sametinget,0.0339
arbetslösa,0.0338
byggnadsarbetare,0.0338
människovärdet,0.0337
turordningsreglerna,0.0330
arbetsmarknadsutbildningen,0.0330
prioriteringen,0.0329
folkrörelserna,0.0327
jämlik,0.0325
2018,0.0318
omställningen,0.0316
remissbehandlingen,0.0316
välfärdssamhälle,0.0315
långtidsarbetslösa,0.0313
miljöminister,0.0313
jämställd,0.0313
föräldralediga,0.0312
fördelningspolitisk,0.0309
näringspolitik,0.0304
diskriminera,0.0304
kommersialisering,0.0303
ungdomsförbundet,0.0300
skattesystem,0.0298
vårdnadsbidrag,0.0298
gymnasiekompetens,0.0297
vägnätet,0.0297
näringsutskottet,0.0292
skattefrågan,0.0291
utvecklingsarbete,0.0285
internationaliseringen,0.0283
folkbildningen,0.0282
infrastrukturpropositionen,0.0278
jätteviktig,0.0271
arbetsmarknadsminister,0.0269
ersättningssystemet,0.0269
regeringsställning,0.0268
nedskärning,0.0268
elevhälsan,0.0268
kollektivavtalen,0.0267
behandlingsmetoder,0.0266
fisket,0.0266
blocköverskridande,0.0263
arbetsmarknadsutbildningarna,0.0262
välfärdssystemen,0.0259
2004,0.0259
omläggningen,0.0259
arbetsplatserna,0.0258
fördelningspolitik,0.0258
besparingarna,0.0256
jordbruksminister,0.0255
småföretagarna,0.0253
jämställdhetsminister,0.0251
2015,0.0250
folkrörelse,0.0248
folkrörelser,0.0248
arbetsmarknadspolitiken,0.0244
utbildningsbakgrund,0.0244
2003,0.0244
välfärdssystemet,0.0243
känns,0.0241
hushållsnära,0.0234
allmännyttan,0.0234
territoriella,0.0233
lärarutbildningen,0.0230
förstudie,0.0228
demokratiseringsprocessen,0.0227
neddragningen,0.0226
långtidsarbetslöshet,0.0225
fördelade,0.0224
jämställdhetspolitiken,0.0224
polemik,0.0222
investeringsstöd,0.0221
utjämningssystemet,0.0220
sysselsättningspolitiken,0.0217
skolpolitiken,0.0216
belysas,0.0216
intresseorganisationer,0.0215
ditt,0.0209
framtidsfrågorna,0.0208
dam,0.0207
sjuka,0.0207
arbetskraftens,0.0207
sjukförsäkringen,0.0207
försämringarna,0.0206
oerhört,0.0206
avslutad,0.0205
könsfördelning,0.0205
skattemyndigheterna,0.0205
samhälleliga,0.0205
hyreslägenheter,0.0204
leveranserna,0.0203
sysselsättningsökning,0.0203
utkonkurrerade,0.0203
kunskapslyftet,0.0199
trängda,0.0197
avlönade,0.0196
privatisering,0.0195
ambassaden,0.0195
marknadsandelar,0.0194
arbetsvillkor,0.0194
utnyttjade,0.0194
omsorgen,0.0193
uppsökande,0.0192
slåss,0.0191
bostadsbyggande,0.0190
partierna,0.0188
löntagare,0.0187
invandrarbakgrund,0.0187
arbetsmarknadsläget,0.0186
uppsägningar,0.0184
löneutvecklingen,0.0184
skattereformen,0.0183
skattemoralen,0.0183
hatt,0.0183
beskrivet,0.0183
anställningsskydd,0.0182
arbetsmiljön,0.0182
fas,0.0182
blandas,0.0180
försöksverksamhet,0.0179
avvecklingen,0.0179
jämställt,0.0175
ömsesidighet,0.0173
riksskatteverket,0.0172
livsmedelsindustrin,0.0172
arbetssituationen,0.0171
partipolitik,0.0171
näringsminister,0.0171
polismyndigheten,0.0170
etableringsrätten,0.0169
handelspolitik,0.0168
föräldraförsäkringen,0.0168
beredskapen,0.0167
bjuda,0.0167
bostadsrättsföreningen,0.0166
handikappolitiken,0.0165
regionalpolitiska,0.0165
partiskiljande,0.0165
budgetmotion,0.0165
tidsgränserna,0.0164
totalförsvaret,0.0164
biologisk,0.0163
riksdagsgruppen,0.0162
barnomsorgen,0.0161
försiktig,0.0161
välfärdspolitik,0.0160
diskrimineras,0.0160
diskrimineringen,0.0158
samlingsregeringen,0.0158
länen,0.0158
alkoholpolitiken,0.0158
skattefusket,0.0157
departementen,0.0157
spärr,0.0157
slaget,0.0157
forskningspolitiken,0.0157
investeringsprojekt,0.0156
kvinnornas,0.0155
miljöfrågorna,0.0155
a,0.0155
uppsagda,0.0154
entré,0.0153
ojämställdhet,0.0153
utbildningspolitiken,0.0152
skärpte,0.0151
decentraliserat,0.0151
samtalet,0.0149
1996,0.0148
arbetsmarknadsministern,0.0148
fortsättningen,0.0148
folkomröstningen,0.0147
uppgörelsen,0.0146
miljöarbetet,0.0146
provstoppsavtalet,0.0146
operatörer,0.0146
angripa,0.0145
högskoleutbildning,0.0145
helhetsgreppet,0.0145
framtidsinvesteringar,0.0145
vuxenutbildning,0.0144
omstrukturering,0.0144
partikamrater,0.0143
övervägas,0.0143
banverket,0.0142
omänsklig,0.0140
positioner,0.0140
samhällsekonomiskt,0.0138
högskoleplatser,0.0138
gemenskapen,0.0138
konjunkturläget,0.0138
bostadsmarknaden,0.0137
likvärdigheten,0.0137
jämställdhetsarbetet,0.0136
trafikutskottets,0.0136
glesbygden,0.0135
ungdomsarbetslöshet,0.0134
utslitna,0.0134
ansökningarna,0.0133
arbetslösheten,0.0132
barnkonventionen,0.0132
inflationen,0.0132
högskolorna,0.0132
bostadspolitiken,0.0131
statsskulden,0.0131
intressena,0.0131
miljöprogrammet,0.0131
kassan,0.0130
din,0.0130
tidsaspekten,0.0130
sanera,0.0130
folkrätten,0.0129
marginaleffekterna,0.0129
jätteviktigt,0.0128
industrin,0.0128
styrkorna,0.0128
visstidsanställningar,0.0127
humanistiska,0.0127
väldig,0.0127
arbetstidsförkortning,0.0127
kläder,0.0126
saneringen,0.0124
klassklyftor,0.0124
du,0.0123
organisationerna,0.0122
ersättningarna,0.0122
asylprocessen,0.0122
bostadsbolagen,0.0122
reflexion,0.0121
fördelningspolitiskt,0.0121
samhället,0.0121
äldreomsorgen,0.0121
försäkringar,0.0120
anställs,0.0120
försäkringskassorna,0.0119
sårbarheten,0.0118
allemansrätten,0.0118
riksmötet,0.0118
sammanhållningen,0.0117
arbetstid,0.0116
tågen,0.0115
skyddsåtgärder,0.0115
kompetensutveckling,0.0114
försörjningsstöd,0.0112
mobiltelefon,0.0112
jämställdheten,0.0112
klyftor,0.0111
situationen,0.0110
undantagna,0.0110
framtidsnäring,0.0110
1999,0.0110
primärvården,0.0110
handläggningstiderna,0.0109
bemanningsföretagen,0.0109
energipolitik,0.0108
arbetslivet,0.0108
argumentationen,0.0108
utvecklingsmöjligheter,0.0108
statsfinansiell,0.0107
folkhögskolorna,0.0107
undersöka,0.0107
remissbehandling,0.0106
regeringsskifte,0.0106
belysning,0.0105
riksdagsmajoriteten,0.0105
hållningen,0.0105
utbyggd,0.0104
högskolan,0.0104
arbetskraftsdeltagande,0.0103
situation,0.0103
läroplanen,0.0103
utökade,0.0103
forskningens,0.0103
föräldrapenning,0.0102
sjysta,0.0102
samhälle,0.0102
räntan,0.0102
pressa,0.0101
kläm,0.0101
avdragen,0.0100
organisera,0.0100
lantbruket,0.0100
utskottsmajoriteten,0.0099
sjyst,0.0099
neddragningar,0.0099
studietiden,0.0099
frustration,0.0099
barnomsorg,0.0098
konkurrenssituation,0.0098
fackliga,0.0098
utbildningssatsningar,0.0097
utbildningssystemet,0.0097
uthålliga,0.0097
halverar,0.0097
ekologisk,0.0097
tidsplanen,0.0097
upphandlingar,0.0096
transportsystem,0.0096
kvinnodominerade,0.0096
1985,0.0096
samhällsutvecklingen,0.0096
regeringstiden,0.0096
mottagandet,0.0095
länet,0.0094
utarbeta,0.0094
arbetsgruppen,0.0094
spridning,0.0094
partiet,0.0094
sjukvårdshuvudmännen,0.0094
förskolans,0.0093
löner,0.0092
jämföras,0.0092
väntetiderna,0.0092
arbetstider,0.0091
bolagen,0.0091
prostitutionen,0.0091
kontor,0.0091
fiske,0.0091
utbildningsplatserna,0.0090
arbetsmiljö,0.0090
resurserna,0.0090
folkhälsoinstitutet,0.0090
1997,0.0089
flickan,0.0089
näringspolitiken,0.0089
redovisningen,0.0089
toppmötet,0.0089
lansera,0.0089
lagutskottets,0.0088
nyanserad,0.0088
utreder,0.0088
kollektivavtal,0.0088
uppslutning,0.0088
